,country,year,sex,age,suicide_ratio,is_WC_year,is_host,in_finals,participant,won
1325,Argentina,2001,female,75+ years,0.5826159661305919,False,False,False,False,False
1326,Argentina,2001,male,15-24 years,1.5576886066204774,False,False,False,False,False
1327,Argentina,2001,male,25-34 years,1.4017198167671856,False,False,False,False,False
1328,Argentina,2001,male,35-54 years,1.5075276281573358,False,False,False,False,False
1329,Argentina,2001,male,5-14 years,0.0823878850035583,False,False,False,False,False
1330,Argentina,2001,male,55-74 years,2.7939663893050866,False,False,False,False,False
1331,Argentina,2001,male,75+ years,4.566435239728717,False,False,False,False,False
1332,Argentina,2002,female,15-24 years,0.48413656082869466,True,False,False,True,False
1333,Argentina,2002,female,25-34 years,0.3282165219147647,True,False,False,True,False
1334,Argentina,2002,female,35-54 years,0.44539840313193135,True,False,False,True,False
1335,Argentina,2002,female,5-14 years,0.06727424081019245,True,False,False,True,False
1336,Argentina,2002,female,55-74 years,0.634862761468583,True,False,False,True,False
1337,Argentina,2002,female,75+ years,0.5728966543823136,True,False,False,True,False
1338,Argentina,2002,male,15-24 years,1.626793224376206,True,False,False,True,False
1339,Argentina,2002,male,25-34 years,1.4936828454513187,True,False,False,True,False
1340,Argentina,2002,male,35-54 years,1.4766612379287714,True,False,False,True,False
1341,Argentina,2002,male,5-14 years,0.10483959400442196,True,False,False,True,False
1342,Argentina,2002,male,55-74 years,2.5759399667766574,True,False,False,True,False
1343,Argentina,2002,male,75+ years,4.131013139799487,True,False,False,True,False
1344,Argentina,2003,female,15-24 years,0.5494119297280656,False,False,False,False,False
1345,Argentina,2003,female,25-34 years,0.24134287372206326,False,False,False,False,False
1346,Argentina,2003,female,35-54 years,0.44520785982675964,False,False,False,False,False
1347,Argentina,2003,female,5-14 years,0.07311527822703054,False,False,False,False,False
1348,Argentina,2003,female,55-74 years,0.5149812242049583,False,False,False,False,False
1349,Argentina,2003,female,75+ years,0.6512237259957019,False,False,False,False,False
1350,Argentina,2003,male,15-24 years,1.915210796265399,False,False,False,False,False
1351,Argentina,2003,male,25-34 years,1.6022741048259723,False,False,False,False,False
1352,Argentina,2003,male,35-54 years,1.4750571378132902,False,False,False,False,False
1353,Argentina,2003,male,5-14 years,0.1047711359484775,False,False,False,False,False
1354,Argentina,2003,male,55-74 years,2.3834465711415427,False,False,False,False,False
1355,Argentina,2003,male,75+ years,4.674808625021913,False,False,False,False,False
1356,Argentina,2004,female,15-24 years,0.48844264823159184,False,False,False,False,False
1357,Argentina,2004,female,25-34 years,0.33666255190214345,False,False,False,False,False
1358,Argentina,2004,female,35-54 years,0.41571071926942776,False,False,False,False,False
1359,Argentina,2004,female,5-14 years,0.07317978458213173,False,False,False,False,False
1360,Argentina,2004,female,55-74 years,0.4697068442158538,False,False,False,False,False
1361,Argentina,2004,female,75+ years,0.4657019805373828,False,False,False,False,False
1362,Argentina,2004,male,15-24 years,1.9590031344050152,False,False,False,False,False
1363,Argentina,2004,male,25-34 years,1.5187303823548783,False,False,False,False,False
1364,Argentina,2004,male,35-54 years,1.3979945895975667,False,False,False,False,False
1365,Argentina,2004,male,5-14 years,0.12181092621345638,False,False,False,False,False
1366,Argentina,2004,male,55-74 years,2.0325533748516236,False,False,False,False,False
1367,Argentina,2004,male,75+ years,3.8253548564312303,False,False,False,False,False
1368,Argentina,2005,female,15-24 years,0.45392256571755957,False,False,False,False,False
1369,Argentina,2005,female,25-34 years,0.3453570726471885,False,False,False,False,False
1370,Argentina,2005,female,35-54 years,0.3799335538429168,False,False,False,False,False
1371,Argentina,2005,female,5-14 years,0.06151486506714347,False,False,False,False,False
1372,Argentina,2005,female,55-74 years,0.54703572890812,False,False,False,False,False
1373,Argentina,2005,female,75+ years,0.5358647949545151,False,False,False,False,False
1374,Argentina,2005,male,15-24 years,1.9082291334546064,False,False,False,False,False
1375,Argentina,2005,male,25-34 years,1.5008364417730369,False,False,False,False,False
1376,Argentina,2005,male,35-54 years,1.2429513245041512,False,False,False,False,False
1377,Argentina,2005,male,5-14 years,0.14735687113754972,False,False,False,False,False
1378,Argentina,2005,male,55-74 years,1.9519898320889564,False,False,False,False,False
1379,Argentina,2005,male,75+ years,3.742664377819474,False,False,False,False,False
1380,Argentina,2006,female,15-24 years,0.5348896278176839,True,False,False,True,False
1381,Argentina,2006,female,25-34 years,0.3419728708036265,True,False,False,True,False
1382,Argentina,2006,female,35-54 years,0.35168924035343885,True,False,False,True,False
1383,Argentina,2006,female,5-14 years,0.07619882735866143,True,False,False,True,False
1384,Argentina,2006,female,55-74 years,0.3853946810172007,True,False,False,True,False
1385,Argentina,2006,female,75+ years,0.2736154396779458,True,False,False,True,False
1386,Argentina,2006,male,15-24 years,1.9538789262243912,True,False,False,True,False
1387,Argentina,2006,male,25-34 years,1.5738071568147316,True,False,False,True,False
1388,Argentina,2006,male,35-54 years,1.3344799976275912,True,False,False,True,False
1389,Argentina,2006,male,5-14 years,0.11056399259618147,True,False,False,True,False
1390,Argentina,2006,male,55-74 years,1.9167855309850153,True,False,False,True,False
1391,Argentina,2006,male,75+ years,3.9676779406783758,True,False,False,True,False
1392,Argentina,2007,female,15-24 years,0.4433929889242861,False,False,False,False,False
1393,Argentina,2007,female,25-34 years,0.4038251859999577,False,False,False,False,False
1394,Argentina,2007,female,35-54 years,0.33681930448334746,False,False,False,False,False
1395,Argentina,2007,female,5-14 years,0.09957163696064021,False,False,False,False,False
1396,Argentina,2007,female,55-74 years,0.3560821468324515,False,False,False,False,False
1397,Argentina,2007,female,75+ years,0.26682871490126475,False,False,False,False,False
1398,Argentina,2007,male,15-24 years,1.7065093720489144,False,False,False,False,False
1399,Argentina,2007,male,25-34 years,1.5678384499261195,False,False,False,False,False
